"TileID","SpeciesCode","SpeciesName","b1","b2","b3","b4"
"K10","POPU.BAL","Balsam poplar",133.367488446288,0.0402689454602568,1.36240425355431,0.000861455265136839
"F6","LARI.OCC","Western larch",234.272273091658,0.0547215550208391,2.32046295692297,0.000947581818817748
"A26","FRAX.NIG","Black ash",116.486202162788,0.0472982555132406,1.67864458511914,-0.00014060166071944
"B22","PINU.RES","Red pine",85.535203278864,0.0677318121828012,1.5830654910268,-0.00177150701726307
"B25","PINU.RES","Red pine",87.8494035932895,0.0677318121828012,1.5830654910268,-0.00177150701726307
"A25","THUJ.OCC","Eastern white-cedar",87.3940847528428,0.0593021010888118,1.50867106712777,0.000444327682950864
"B26","THUJ.OCC","Eastern white-cedar",105.521701907754,0.0593021010888118,1.50867106712777,0.000444327682950864
"D30","THUJ.OCC","Eastern white-cedar",107.719846744432,0.0593021010888118,1.50867106712777,0.000444327682950864
"G2","CHAM.NOO","Yellow-cedar",199.644424721283,0.0596813995097638,1.89251532434685,0.000711674522592799
"H2","CHAM.NOO","Yellow-cedar",141.412659948754,0.0596813995097638,1.89251532434685,0.000711674522592799
"I2","CHAM.NOO","Yellow-cedar",158.877832118402,0.0596813995097638,1.89251532434685,0.000711674522592799
"J2","CHAM.NOO","Yellow-cedar",155.192450336923,0.0596813995097638,1.89251532434685,0.000711674522592799
"F3","ABIE.AMA","Amabilis fir",263.076296110936,0.0456345138206505,1.80227324623595,0.000576546803349816
"F4","ABIE.AMA","Amabilis fir",221.876893640714,0.0456345138206505,1.80227324623595,0.000576546803349816
"G2","ABIE.AMA","Amabilis fir",199.537981621626,0.0456345138206505,1.80227324623595,0.000576546803349816
"G3","ABIE.AMA","Amabilis fir",227.609911255735,0.0456345138206505,1.80227324623595,0.000576546803349816
"C25","BETU.ALL","Yellow birch",111.253396789904,0.0692631584198152,2.20433249928029,-0.00131930942826946
"C26","BETU.ALL","Yellow birch",112.013328787873,0.0692631584198152,2.20433249928029,-0.00131930942826946
"D27","BETU.ALL","Yellow birch",119.319127254958,0.0692631584198152,2.20433249928029,-0.00131930942826946
"D28","BETU.ALL","Yellow birch",113.861089611477,0.0692631584198152,2.20433249928029,-0.00131930942826946
"F30","BETU.ALL","Yellow birch",119.407999594276,0.0692631584198152,2.20433249928029,-0.00131930942826946
"C15","POPU.GRA","Largetooth aspen",93.5983990154961,0.0634901483562999,2.00849925397534,0.000323602767736353
"C16","POPU.GRA","Largetooth aspen",102.634553268333,0.0634901483562999,2.00849925397534,0.000323602767736353
"D14","POPU.GRA","Largetooth aspen",104.078356464943,0.0634901483562999,2.00849925397534,0.000323602767736353
"D15","POPU.GRA","Largetooth aspen",88.4999350428633,0.0634901483562999,2.00849925397534,0.000323602767736353
"E14","POPU.GRA","Largetooth aspen",115.929664648512,0.0634901483562999,2.00849925397534,0.000323602767736353
"E16","POPU.GRA","Largetooth aspen",122.420650225616,0.0634901483562999,2.00849925397534,0.000323602767736353
"C31","PICE.RUB","Red spruce",141.551536701056,0.0488166892260916,1.75391930722005,0.00163820314763169
"C32","PICE.RUB","Red spruce",140.521733105123,0.0488166892260916,1.75391930722005,0.00163820314763169
"D31","PICE.RUB","Red spruce",138.651479889602,0.0488166892260916,1.75391930722005,0.00163820314763169
"D32","PICE.RUB","Red spruce",129.65665406574,0.0488166892260916,1.75391930722005,0.00163820314763169
"D33","PICE.RUB","Red spruce",103.940375320865,0.0488166892260916,1.75391930722005,0.00163820314763169
"E32","PICE.RUB","Red spruce",116.50327145492,0.0488166892260916,1.75391930722005,0.00163820314763169
"E33","PICE.RUB","Red spruce",97.8874096297831,0.0488166892260916,1.75391930722005,0.00163820314763169
"E23","LARI.LAR","Tamarack",27.0057632274433,0.0460438990829587,1.37382750125646,-0.00550830744641824
"F13","LARI.LAR","Tamarack",30.239928481163,0.0460438990829587,1.37382750125646,-0.00550830744641824
"F23","LARI.LAR","Tamarack",20.3008326170863,0.0460438990829587,1.37382750125646,-0.00550830744641824
"F24","LARI.LAR","Tamarack",23.6742896867244,0.0460438990829587,1.37382750125646,-0.00550830744641824
"G17","LARI.LAR","Tamarack",21.3181137342903,0.0460438990829587,1.37382750125646,-0.00550830744641824
"K10","LARI.LAR","Tamarack",31.6149211631319,0.0460438990829587,1.37382750125646,-0.00550830744641824
"M10","LARI.LAR","Tamarack",53.0316801489538,0.0460438990829587,1.37382750125646,-0.00550830744641824
"N13","LARI.LAR","Tamarack",17.3806276300962,0.0460438990829587,1.37382750125646,-0.00550830744641824
"O10","LARI.LAR","Tamarack",16.7455346089552,0.0460438990829587,1.37382750125646,-0.00550830744641824
"U7","LARI.LAR","Tamarack",26.4407631954744,0.0460438990829587,1.37382750125646,-0.00550830744641824
"A24","PINU.STR","Eastern white pine",90.6616677037935,0.065713056722938,1.89246349743602,-0.000416476070959317
"A25","PINU.STR","Eastern white pine",91.6146737424459,0.065713056722938,1.89246349743602,-0.000416476070959317
"A26","PINU.STR","Eastern white pine",94.3235029258576,0.065713056722938,1.89246349743602,-0.000416476070959317
"B22","PINU.STR","Eastern white pine",106.086521111413,0.065713056722938,1.89246349743602,-0.000416476070959317
"B23","PINU.STR","Eastern white pine",113.401753316654,0.065713056722938,1.89246349743602,-0.000416476070959317
"B24","PINU.STR","Eastern white pine",99.6391625092478,0.065713056722938,1.89246349743602,-0.000416476070959317
"B25","PINU.STR","Eastern white pine",108.415350126092,0.065713056722938,1.89246349743602,-0.000416476070959317
"B26","PINU.STR","Eastern white pine",105.539900582963,0.065713056722938,1.89246349743602,-0.000416476070959317
